gameId,b_summoner1_lane,b_summoner1_championId,b_summoner1_kills,b_summoner1_deaths,b_summoner1_assists,b_summoner1_totalDamageDealt,b_summoner1_totalHeal,b_summoner1_visionScore,b_summoner1_totalDamageTaken,b_summoner1_goldEarned,b_summoner1_champLevel,b_summoner2_lane,b_summoner2_championId,b_summoner2_kills,b_summoner2_deaths,b_summoner2_assists,b_summoner2_totalDamageDealt,b_summoner2_totalHeal,b_summoner2_visionScore,b_summoner2_totalDamageTaken,b_summoner2_goldEarned,b_summoner2_champLevel,b_summoner3_lane,b_summoner3_championId,b_summoner3_kills,b_summoner3_deaths,b_summoner3_assists,b_summoner3_totalDamageDealt,b_summoner3_totalHeal,b_summoner3_visionScore,b_summoner3_totalDamageTaken,b_summoner3_goldEarned,b_summoner3_champLevel,b_summoner4_lane,b_summoner4_championId,b_summoner4_kills,b_summoner4_deaths,b_summoner4_assists,b_summoner4_totalDamageDealt,b_summoner4_totalHeal,b_summoner4_visionScore,b_summoner4_totalDamageTaken,b_summoner4_goldEarned,b_summoner4_champLevel,b_summoner5_lane,b_summoner5_championId,b_summoner5_kills,b_summoner5_deaths,b_summoner5_assists,b_summoner5_totalDamageDealt,b_summoner5_totalHeal,b_summoner5_visionScore,b_summoner5_totalDamageTaken,b_summoner5_goldEarned,b_summoner5_champLevel
3376031541,TOP,MonkeyKing,4,2,5,128828,5963,7,17256,11056,15,BOTTOM,Lucian,10,0,7,134194,2756,26,9566,12888,14,JUNGLE,Shaco,8,3,9,114192,7146,20,19414,10389,13,MIDDLE,Galio,5,3,9,101944,5808,14,17432,9792,13,BOTTOM,Janna,1,3,14,33190,5994,49,9436,7754,12
3419506031,TOP,Fiora,7,10,8,220417,11834,38,42632,15634,18,JUNGLE,Amumu,7,7,14,248015,15096,37,36049,14738,17,BOTTOM,Blitzcrank,0,1,6,31255,3067,19,14415,8207,14,BOTTOM,MissFortune,5,6,5,115805,2582,19,16130,11964,15,MIDDLE,Lux,11,3,10,204306,1159,31,10790,16141,18
3419541356,BOTTOM,Leona,4,3,6,14094,677,27,8530,6107,10,MIDDLE,Aatrox,3,2,2,56163,5189,11,14036,7103,13,BOTTOM,Jhin,2,1,9,91542,1796,14,7230,8454,12,JUNGLE,Amumu,6,3,3,87249,5492,16,16411,7617,11,MIDDLE,Ahri,5,1,2,51450,1041,15,6040,7027,12
3419796753,JUNGLE,Shaco,8,5,8,130305,9165,19,27097,11867,15,MIDDLE,Lux,3,1,11,31432,1043,48,3752,8278,13,BOTTOM,Aphelios,12,5,6,201490,7910,24,18951,16484,15,MIDDLE,Ahri,9,5,9,144165,6053,22,20326,12924,16,TOP,Nasus,2,8,6,119940,1852,12,32907,10231,16
3418930158,TOP,Xerath,18,1,4,156956,328,34,10588,13664,16,MIDDLE,Ornn,4,6,16,129051,1792,10,22835,11300,16,BOTTOM,Ashe,5,3,13,125909,2316,29,13588,12357,14,TOP,Pyke,8,4,11,45783,4992,60,16549,10696,14,JUNGLE,Graves,8,4,8,179573,7524,10,19664,12133,15
3419197827,BOTTOM,Varus,11,11,21,241661,5241,63,31666,18451,18,MIDDLE,Leblanc,16,13,11,154146,7029,24,44316,16967,18,JUNGLE,Heimerdinger,11,3,14,267309,2415,23,21574,18666,18,BOTTOM,Janna,1,9,25,23660,14790,115,25569,11254,16,JUNGLE,Vi,11,11,15,282495,8700,62,50440,17501,18
3419142648,JUNGLE,Nunu,5,1,10,135963,16367,19,24098,9983,13,BOTTOM,Blitzcrank,3,4,12,20498,621,45,11637,7446,12,TOP,Gragas,5,2,8,105760,5750,11,17728,10146,14,BOTTOM,Ezreal,10,1,5,89708,2318,21,9586,9934,12,MIDDLE,Lux,4,1,8,110513,932,11,7713,9546,14
3419805456,TOP,Shen,0,2,8,85881,857,13,16567,8826,15,TOP,Varus,17,6,6,169807,3215,16,23083,15495,15,JUNGLE,LeeSin,4,2,15,135179,7774,20,25032,10541,14,BOTTOM,Janna,3,4,18,25017,13264,51,10384,8547,13,BOTTOM,Tristana,7,3,13,122663,2309,15,15223,11961,14
3419839955,JUNGLE,Jax,0,3,0,16578,652,4,6017,3932,7,BOTTOM,Yuumi,0,4,5,7771,5654,8,5977,4191,10,MIDDLE,Syndra,4,5,4,64121,1412,8,12618,5807,12,JUNGLE,Sett,4,3,1,93634,5474,18,20423,7268,11,BOTTOM,Vayne,4,7,4,32280,1552,9,15046,5977,10
3419887153,MIDDLE,Talon,10,7,9,169503,10998,21,36420,13993,17,BOTTOM,Varus,13,4,12,191612,5022,30,22367,15210,16,JUNGLE,Shyvana,9,3,8,217924,13477,26,33058,13085,17,BOTTOM,Lulu,4,0,26,29298,10638,64,12968,10583,15,TOP,Garen,5,2,5,142116,3914,11,31272,11704,16
3419849143,BOTTOM,Leona,1,4,13,14963,568,23,10416,5984,10,BOTTOM,Caitlyn,9,5,9,89650,1975,18,9673,10708,11,JUNGLE,Khazix,14,2,9,110515,8102,23,16750,12521,14,MIDDLE,Chogath,12,4,11,110039,5985,15,20215,12217,14,TOP,Malphite,2,0,9,82767,1442,6,9538,8084,13
3419841849,TOP,Mordekaiser,11,7,3,152311,9789,19,40779,13680,16,JUNGLE,Ekko,6,5,10,136894,10680,34,32647,11301,15,MIDDLE,Kassadin,11,10,5,107333,6748,9,37797,14530,16,BOTTOM,Thresh,3,13,14,16211,3524,51,30016,8190,13,BOTTOM,Tristana,3,8,6,116715,2875,21,26686,11399,14
3419869123,BOTTOM,Kalista,1,5,1,24123,385,11,6530,5203,8,MIDDLE,AurelionSol,2,3,1,54725,774,11,9344,5941,12,TOP,Singed,1,2,1,106394,868,13,11035,7239,13,BOTTOM,Pyke,1,6,0,16708,1141,39,9863,5063,9,JUNGLE,Trundle,1,3,1,107787,13408,10,21910,6827,10
3419855749,JUNGLE,Udyr,3,2,5,149206,10301,14,22025,9591,13,MIDDLE,Diana,9,2,4,67059,1639,19,10882,9285,12,TOP,Kled,4,5,4,77987,2090,13,23864,8864,13,BOTTOM,Kalista,15,1,4,147000,2926,16,14660,13301,14,BOTTOM,Nami,5,0,19,23765,16188,28,8717,9511,12
3419883228,MIDDLE,Veigar,10,7,5,136063,529,23,21190,12504,16,MIDDLE,Gangplank,3,7,10,174853,7919,15,33164,12077,16,BOTTOM,Sona,0,5,9,42568,6576,64,13970,7344,14,JUNGLE,Kayn,8,5,7,154335,19889,30,40176,11997,15,MIDDLE,Kaisa,2,10,2,110982,0,3,18627,8989,14
3419809438,MIDDLE,Zed,16,12,3,123074,3349,17,31249,15219,16,JUNGLE,LeeSin,7,8,12,161207,11810,31,40208,12836,16,BOTTOM,MissFortune,10,7,12,201141,3155,20,25063,15649,16,BOTTOM,Morgana,5,9,22,51855,7928,61,28229,11365,16,TOP,Chogath,2,11,5,239272,6435,27,39569,13585,17
3419912294,JUNGLE,Warwick,5,7,10,127069,13882,15,32880,10136,14,BOTTOM,Jhin,8,7,11,232096,8032,22,22423,14755,16,BOTTOM,Annie,4,6,8,42605,1577,70,15449,9567,13,MIDDLE,Lux,2,5,10,100851,80,14,10360,8278,15,TOP,Kled,5,9,8,146304,5168,19,48634,11797,16
3419926567,BOTTOM,Syndra,8,6,8,195147,1951,19,19621,14515,16,JUNGLE,Shaco,6,7,6,157640,6891,13,26140,11736,14,BOTTOM,Nautilus,5,11,7,55036,591,47,28425,8962,14,MIDDLE,Tristana,13,7,5,219710,1984,13,32657,17087,18,TOP,Darius,4,15,4,86754,7826,14,48616,9194,14
3419941843,MIDDLE,Akali,11,4,6,84326,5932,23,20204,12903,16,BOTTOM,Caitlyn,0,6,5,129789,3322,14,15028,9728,13,BOTTOM,Leona,1,7,5,16406,304,48,14581,6711,12,TOP,Yorick,5,4,5,160341,9106,27,25754,13234,16,JUNGLE,JarvanIV,6,4,6,201306,10907,29,28833,12137,15
3419855006,BOTTOM,Caitlyn,5,5,4,204434,1215,19,12168,14365,16,MIDDLE,Zed,13,7,6,150762,4188,25,31037,14753,17,JUNGLE,Warwick,2,7,6,208001,20470,25,40335,12408,16,TOP,Teemo,5,5,9,168418,12558,38,36938,13118,16,BOTTOM,Nami,2,11,6,25852,9713,46,18704,8833,14
