gameId,b_towerKills,b_baronKills,b_dragonKills,b_riftHeraldKills,r_towerKills,r_baronKills,r_dragonKills,r_riftHeraldKills,b_kills,b_deaths,b_assists,r_kills,r_deaths,r_assists,b_avgLevel,b_totalGold,b_totalVisionScore,b_totalDamageDealt,b_totalHeal,b_totalDamageTaken,r_avgLevel,r_totalGold,r_totalVisionScore,r_totalDamageDealt,r_totalHeal,r_totalDamageTaken,b_win,r_win
3376031541,9,1,4,0,1,0,0,1,28,11,44,11,28,16,13.4,51879,116,512348,27667,73104,12.0,40894,113,440453,17098,99328,1,0
3419506031,10,3,3,0,3,0,2,2,30,27,43,27,30,31,16.4,66684,144,819798,33738,120016,16.2,63882,138,872326,26939,136496,1,0
3419541356,2,0,1,1,0,0,1,0,20,10,22,10,20,6,11.6,36308,83,300498,14195,52247,11.0,29785,58,304820,13874,57336,1,0
3419796753,8,1,4,1,3,0,1,1,34,24,40,24,34,41,15.0,59784,125,627332,26023,103033,14.8,55716,117,668380,27990,124339,1,0
3418930158,11,0,1,1,1,0,3,0,43,18,52,18,43,18,15.0,60150,143,637272,16952,83224,13.2,42070,70,453739,25468,112945,1,0
3419197827,11,2,2,1,2,0,4,0,50,47,86,47,50,66,17.6,82839,287,969271,38175,173565,17.6,76413,227,908645,81918,258777,1,0
3419142648,9,1,3,2,0,0,0,0,27,9,43,9,27,14,13.0,47055,107,462442,25988,70762,11.8,36714,122,376004,19253,78590,1,0
3419805456,9,1,2,2,1,0,2,0,31,17,60,17,31,23,14.2,55370,115,538547,27419,90289,12.8,42665,118,425000,17670,117098,1,0
3419839955,0,0,1,0,6,0,1,2,12,22,14,22,13,23,10.0,27175,47,214384,14744,60081,11.4,39372,64,324901,12254,61082,0,1
3419887153,10,1,4,1,2,0,0,0,41,16,60,16,41,18,16.2,64575,152,750453,44049,136085,14.8,50120,114,661552,29321,150343,1,0
3419849143,9,0,2,1,0,0,1,1,38,15,51,15,38,25,12.4,49514,85,407934,18072,66592,10.8,34418,60,330328,15158,85332,1,0
3419841849,4,0,1,1,9,1,4,0,34,43,38,43,34,70,14.8,59100,134,529464,33616,167925,16.0,67756,159,701122,57192,133529,0,1
3419869123,0,0,0,1,3,0,2,1,6,19,4,19,6,24,10.4,30273,84,309737,16576,58682,11.8,38402,79,373380,10404,42076,0,1
3419855749,11,1,3,1,2,0,0,0,36,10,36,10,36,11,12.8,50552,90,465017,33144,80148,11.2,32721,68,307232,10451,71499,1,0
3419883228,1,0,2,0,9,1,3,2,23,34,33,34,24,38,15.0,52911,135,618801,34913,127127,16.0,62922,123,800290,37007,116084,0,1
3419809438,6,0,4,1,8,1,2,1,40,47,54,47,40,66,16.2,68654,156,776549,32677,164318,16.6,70817,211,704561,47836,158401,0,1
3419912294,2,0,2,1,11,0,3,0,24,34,47,33,24,45,14.8,54533,140,648925,28739,129746,15.2,62440,130,663726,45139,129464,0,1
3419926567,6,0,1,2,11,0,4,0,36,46,30,46,36,63,15.2,61494,106,714287,19243,155459,16.4,68862,186,822189,42103,141221,0,1
3419941843,11,0,2,1,2,0,3,0,23,25,27,25,23,34,14.4,54713,141,592168,29571,104400,14.2,50470,139,545103,30408,96035,1,0
3419855006,9,0,3,2,7,2,3,0,27,35,31,35,27,47,15.8,63477,153,757467,48144,139182,16.8,69100,144,832448,43161,132971,0,1
3419220634,0,1,0,0,8,0,4,2,20,27,23,27,20,26,13.4,43607,80,361930,17252,100317,13.6,51247,129,517231,29912,92534,0,1
3394687389,11,0,4,0,0,0,0,2,40,18,38,18,40,22,14.8,55328,103,569491,39897,91931,13.4,46014,75,470870,15306,106367,1,0
3414201752,8,1,3,1,9,1,4,1,38,60,61,60,38,110,18.0,84954,188,1196941,92265,271720,18.0,91364,205,1204368,97152,203503,0,1
3419317543,11,1,1,2,5,0,2,0,34,27,69,27,34,45,14.4,57820,122,564833,36983,107572,12.6,49363,115,465778,29326,118872,1,0
3419859199,1,0,0,0,5,0,2,1,11,29,10,29,11,20,10.0,30638,64,260193,6978,61516,11.4,41021,70,352063,12320,53772,0,1
3419222589,10,1,2,2,3,0,3,0,36,24,51,24,36,46,16.0,65354,128,705696,25082,114354,14.6,55365,126,632389,24658,113882,1,0
3419273894,3,0,3,0,10,2,2,2,28,44,29,44,28,67,16.0,62798,108,765595,36174,179183,17.2,76194,165,984975,59064,182791,0,1
