gameId,r_summoner1_lane,r_summoner1_championId,r_summoner1_kills,r_summoner1_deaths,r_summoner1_assists,r_summoner1_totalDamageDealt,r_summoner1_totalHeal,r_summoner1_visionScore,r_summoner1_totalDamageTaken,r_summoner1_goldEarned,r_summoner1_champLevel,r_summoner2_lane,r_summoner2_championId,r_summoner2_kills,r_summoner2_deaths,r_summoner2_assists,r_summoner2_totalDamageDealt,r_summoner2_totalHeal,r_summoner2_visionScore,r_summoner2_totalDamageTaken,r_summoner2_goldEarned,r_summoner2_champLevel,r_summoner3_lane,r_summoner3_championId,r_summoner3_kills,r_summoner3_deaths,r_summoner3_assists,r_summoner3_totalDamageDealt,r_summoner3_totalHeal,r_summoner3_visionScore,r_summoner3_totalDamageTaken,r_summoner3_goldEarned,r_summoner3_champLevel,r_summoner4_lane,r_summoner4_championId,r_summoner4_kills,r_summoner4_deaths,r_summoner4_assists,r_summoner4_totalDamageDealt,r_summoner4_totalHeal,r_summoner4_visionScore,r_summoner4_totalDamageTaken,r_summoner4_goldEarned,r_summoner4_champLevel,r_summoner5_lane,r_summoner5_championId,r_summoner5_kills,r_summoner5_deaths,r_summoner5_assists,r_summoner5_totalDamageDealt,r_summoner5_totalHeal,r_summoner5_visionScore,r_summoner5_totalDamageTaken,r_summoner5_goldEarned,r_summoner5_champLevel
3376031541,TOP,DrMundo,2,3,2,117705,3884,12,23352,9849,14,MIDDLE,Kassadin,4,6,3,90372,4180,18,22930,8804,12,BOTTOM,Ezreal,2,7,2,75034,1610,7,11870,7360,11,JUNGLE,JarvanIV,1,5,4,113256,6449,28,21514,8294,12,BOTTOM,Sett,2,7,5,44086,975,48,19662,6587,11
3419506031,MIDDLE,Ekko,11,8,7,202017,7089,29,28491,14883,18,TOP,Sett,4,9,8,166705,4221,24,38127,12680,16,JUNGLE,Graves,3,3,7,251630,12555,25,31362,14186,18,BOTTOM,Jinx,7,3,5,228253,2104,18,15991,14346,15,BOTTOM,Thresh,2,7,4,23721,970,42,22525,7787,14
3419541356,BOTTOM,Ezreal,0,5,1,45121,660,11,6949,5227,10,MIDDLE,Zyra,5,3,0,92352,704,5,6960,7706,12,JUNGLE,Nunu,3,5,3,104518,11312,21,22200,7189,11,BOTTOM,Bard,0,4,2,8042,520,10,6711,3751,9,TOP,Sett,2,3,0,54787,678,11,14516,5912,13
3419796753,JUNGLE,Udyr,9,7,7,165491,7783,28,31056,14251,16,TOP,MonkeyKing,7,4,4,128306,2854,17,24153,11953,16,BOTTOM,Rakan,1,5,13,19399,4209,40,16781,7100,13,BOTTOM,Jhin,5,8,6,174079,3921,17,21725,11712,14,MIDDLE,Ekko,2,10,11,181105,9223,15,30624,10700,15
3418930158,MIDDLE,Lux,5,5,3,104054,1327,13,16849,9657,14,JUNGLE,XinZhao,7,9,7,161773,15115,22,37675,12095,15,BOTTOM,Zilean,4,7,4,71651,4939,19,15056,8145,12,BOTTOM,MissFortune,0,10,3,27103,2208,8,18022,5157,11,TOP,Jax,2,12,1,89158,1879,8,25343,7016,14
3419197827,JUNGLE,Kayn,16,6,8,305549,38504,28,71330,20132,18,TOP,Malphite,4,11,17,152959,9415,17,48276,13030,18,BOTTOM,MissFortune,11,10,10,207481,4924,25,34043,16818,18,MIDDLE,Swain,10,12,19,163445,23676,52,72469,15006,18,BOTTOM,Zyra,6,11,12,79211,5399,105,32659,11427,16
3419142648,JUNGLE,Orianna,0,4,4,96224,1941,25,13653,7312,13,TOP,Gangplank,0,5,1,87564,3101,11,15225,6563,13,BOTTOM,Zyra,3,4,5,33531,228,28,10849,7181,11,BOTTOM,Vayne,4,7,2,63419,2919,16,16134,8978,11,JUNGLE,Fiddlesticks,2,7,2,95266,11064,42,22729,6680,11
3419805456,BOTTOM,Ezreal,5,5,5,94581,2657,11,13868,10108,13,JUNGLE,Volibear,4,6,6,117817,6794,19,33340,9862,14,TOP,Sett,5,5,2,98916,2163,22,25040,8264,13,TOP,Akali,2,7,3,69472,3701,21,22555,7412,13,BOTTOM,Nautilus,1,8,7,44214,2355,45,22295,7019,11
3419839955,MIDDLE,Katarina,1,7,3,43040,28,9,14336,5347,11,JUNGLE,Kindred,2,1,1,119583,8544,17,14822,7316,12,TOP,MissFortune,8,2,7,73959,1845,11,11980,10371,12,TOP,Teemo,7,1,2,66152,1070,8,8634,9370,12,TOP,Nautilus,4,2,10,22167,767,19,11310,6968,10
3419887153,TOP,Teemo,0,8,4,125550,1255,22,23522,8984,15,JUNGLE,Maokai,1,6,7,139012,11506,23,35768,9403,14,BOTTOM,Draven,1,9,4,110048,2014,12,18735,9484,14,BOTTOM,Xerath,3,9,2,83460,607,39,17011,7989,14,TOP,Chogath,11,9,1,203482,13939,18,55307,14260,17
